Facility_Code,Health_Service,Facility_Name,Last_Month_In_QTR,Month,Quarter,Year,Triage_Category,Number_of_Attendances,Variation_Attendances_Percent,Patients_Seen_Within_Recommended_Times_Percent,Median_Waiting_Time_Minutes,Patients_Did_Not_Wait_For_Treatment_Percent,Patients_Admitted_From_ED_Percent,Admissions_To_Hospital_Within_4_Hours_Percent,ED_Stay_Within_4_Hours_Percent,Number_Left_After_Treatment_Commenced,Percent_Left_After_Treatment_Commenced,Number_Did_Not_Wait_For_Treatment
65,Wide Bay,Eidsvold,1/09/2024,9,3,2024,ALL,152,11.8,98,0,0,26.3,97.5,97.4,1,0.7,0
66,Wide Bay,Gayndah,1/09/2024,9,3,2024,1,0,-100,0,0,0,0,0,0,0,0,0
66,Wide Bay,Gayndah,1/09/2024,9,3,2024,2,85,54.5,98.8,0,1.2,48.2,100,98.8,2,2.4,1
66,Wide Bay,Gayndah,1/09/2024,9,3,2024,3,182,23.8,99.4,0,1.1,30.8,98.2,97.3,1,0.5,2
66,Wide Bay,Gayndah,1/09/2024,9,3,2024,4,169,-5.1,99.4,0,1.8,16,100,98.8,3,1.8,3
66,Wide Bay,Gayndah,1/09/2024,9,3,2024,5,101,-48.7,100,0,4,2,100,98,0,0,4
66,Wide Bay,Gayndah,1/09/2024,9,3,2024,ALL,537,-7.3,99.4,0,1.9,23.5,99.2,98.1,6,1.1,10
67,Wide Bay,Gin Gin,1/09/2024,9,3,2024,1,0,-100,0,0,0,0,0,0,0,0,0
67,Wide Bay,Gin Gin,1/09/2024,9,3,2024,2,45,60.7,91.1,0,0,53.3,100,97.8,2,4.4,0
67,Wide Bay,Gin Gin,1/09/2024,9,3,2024,3,178,17.9,86.4,2,0.6,29.2,100,98.9,10,5.6,1
67,Wide Bay,Gin Gin,1/09/2024,9,3,2024,4,403,39,92.4,10,2.2,14.4,98.3,96.3,1,0.2,9
67,Wide Bay,Gin Gin,1/09/2024,9,3,2024,5,447,36.3,98.4,15,4,3.8,100,97.1,2,0.4,18
67,Wide Bay,Gin Gin,1/09/2024,9,3,2024,ALL,1073,34.3,93.8,10,2.6,14.1,99.3,97.1,15,1.4,28
69,Wide Bay,Hervey Bay,1/09/2024,9,3,2024,1,65,-1.5,100,0,0,64.6,35.7,30.8,2,3.1,0
69,Wide Bay,Hervey Bay,1/09/2024,9,3,2024,2,1846,10,87.2,4,0,57.4,38.1,41.1,56,3,0
69,Wide Bay,Hervey Bay,1/09/2024,9,3,2024,3,5238,6.9,58,22,4.4,40.3,21.9,38.4,287,5.5,230
69,Wide Bay,Hervey Bay,1/09/2024,9,3,2024,4,4195,9,76.2,17,10.6,20.8,20.5,53.1,283,6.7,446
69,Wide Bay,Hervey Bay,1/09/2024,9,3,2024,5,465,-5.1,94.6,11,15.5,4.1,31.6,81.3,18,3.9,72
69,Wide Bay,Hervey Bay,1/09/2024,9,3,2024,ALL,11809,7.5,70.5,13,6.3,34.8,26,45.7,646,5.5,748
71,Wide Bay,Maryborough,1/09/2024,9,3,2024,1,55,89.7,100,0,0,10.9,50,54.5,2,3.6,0
71,Wide Bay,Maryborough,1/09/2024,9,3,2024,2,1145,18.5,83.6,6,0.1,37.5,66.9,56.3,36,3.1,1
